Week,Month,Day,Habit,Completed,Time_Spent_Minutes,Quality_Rating,Notes
1,Month 1,Monday,Morning Market News (30 min),False,0,0,
1,Month 1,Tuesday,Morning Market News (30 min),False,0,0,
1,Month 1,Wednesday,Morning Market News (30 min),False,0,0,
1,Month 1,Thursday,Morning Market News (30 min),False,0,0,
1,Month 1,Friday,Morning Market News (30 min),False,0,0,
1,Month 1,Saturday,Morning Market News (30 min),False,0,0,
1,Month 1,Sunday,Morning Market News (30 min),False,0,0,
1,Month 1,Monday,WQU Project Work (1 hour),False,0,0,
1,Month 1,Tuesday,WQU Project Work (1 hour),False,0,0,
1,Month 1,Wednesday,WQU Project Work (1 hour),False,0,0,
1,Month 1,Thursday,WQU Project Work (1 hour),False,0,0,
1,Month 1,Friday,WQU Project Work (1 hour),False,0,0,
1,Month 1,Saturday,WQU Project Work (1 hour),False,0,0,
1,Month 1,Sunday,WQU Project Work (1 hour),False,0,0,
1,Month 1,Monday,MScFE Study (45 min),False,0,0,
1,Month 1,Tuesday,MScFE Study (45 min),False,0,0,
1,Month 1,Wednesday,MScFE Study (45 min),False,0,0,
1,Month 1,Thursday,MScFE Study (45 min),False,0,0,
1,Month 1,Friday,MScFE Study (45 min),False,0,0,
1,Month 1,Saturday,MScFE Study (45 min),False,0,0,
1,Month 1,Sunday,MScFE Study (45 min),False,0,0,
1,Month 1,Monday,Additional Reading (30 min),False,0,0,
1,Month 1,Tuesday,Additional Reading (30 min),False,0,0,
1,Month 1,Wednesday,Additional Reading (30 min),False,0,0,
1,Month 1,Thursday,Additional Reading (30 min),False,0,0,
1,Month 1,Friday,Additional Reading (30 min),False,0,0,
1,Month 1,Saturday,Additional Reading (30 min),False,0,0,
1,Month 1,Sunday,Additional Reading (30 min),False,0,0,
1,Month 1,Monday,Coding Practice (varies),False,0,0,
1,Month 1,Tuesday,Coding Practice (varies),False,0,0,
1,Month 1,Wednesday,Coding Practice (varies),False,0,0,
1,Month 1,Thursday,Coding Practice (varies),False,0,0,
1,Month 1,Friday,Coding Practice (varies),False,0,0,
1,Month 1,Saturday,Coding Practice (varies),False,0,0,
1,Month 1,Sunday,Coding Practice (varies),False,0,0,
